trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
49.4,6.71,1,0,1,13.58,0,0,50,13.58,0,1
48.0,6.49,1,0,1,13.52,0,0,50,13.52,0,1
48.1,6.72,1,0,1,13.97,0,0,50,13.97,0,1
46.9,6.7,1,0,1,14.29,0,0,50,14.29,0,1
45.9,6.53,1,0,1,14.23,0,0,50,14.23,0,1
62.9,9.02,1,1,1,14.34,0,0,50,14.34,0,1
48.7,6.52,1,0,1,13.39,0,0,50,13.39,0,1
47.8,6.4,1,0,1,13.39,0,0,50,13.39,0,1
45.8,6.12,1,0,1,13.36,0,0,50,13.36,0,1
46.8,6.11,1,0,1,13.06,0,0,50,13.06,0,1
48.1,6.55,1,0,1,13.62,0,0,50,13.62,0,1
82.9,12.74,0,1,1,15.37,0,0,50,15.37,0,1
82.5,13.92,0,1,1,16.87,0,0,50,16.87,0,1
82.9,12.19,0,1,1,14.7,0,0,50,14.7,0,1
82.6,12.07,0,1,1,14.61,0,0,50,14.61,0,1
3.9,4.52,1,0,1,13.76,0,0,50,13.76,0,1
68.0,5.37,1,1,1,13.76,0,0,50,13.76,0,1
63.6,9.1,1,0,1,14.31,0,0,50,14.31,0,1
46.2,6.64,1,0,1,14.37,0,0,50,14.37,0,1
45.8,6.57,1,0,1,14.34,0,0,50,14.34,0,1
46.5,6.97,1,0,1,14.99,0,0,50,14.99,0,1
47.7,6.47,1,0,1,13.56,0,0,50,13.56,0,1
65.0,9.23,1,1,1,14.2,0,0,50,14.2,0,1
49.0,6.98,1,0,1,14.24,0,0,50,14.24,0,1
46.8,6.81,1,0,1,14.55,0,0,50,14.55,0,1
50.1,6.67,1,0,1,13.31,0,0,50,13.31,0,1
46.5,6.7,1,0,1,14.41,0,0,50,14.41,0,1
45.9,6.32,1,0,1,13.77,0,0,50,13.77,0,1
62.4,9.05,1,1,1,14.5,0,0,50,14.5,0,1
77.3,10.29,1,0,1,13.31,0,0,50,13.31,0,1
47.8,6.61,1,0,1,13.83,0,0,50,13.83,0,1
46.9,6.42,1,0,1,13.69,0,0,50,13.69,0,1
57.1,7.88,1,0,1,13.8,0,0,50,13.8,0,1
47.2,6.62,1,0,1,14.03,0,0,50,14.03,0,1
47.2,6.56,1,0,1,13.9,0,0,50,13.9,0,1
65.7,9.51,1,1,1,14.47,0,0,50,14.47,0,1
50.3,7.16,1,0,1,14.23,0,0,50,14.23,0,1
47.0,7.1,1,0,1,15.11,0,0,50,15.11,0,1
47.2,6.6,1,0,1,13.98,0,0,50,13.98,0,1
47.2,6.33,1,0,1,13.41,0,0,50,13.41,0,1
46.8,6.26,1,0,1,13.38,0,0,50,13.38,0,1
66.1,10.38,1,1,1,15.7,0,1,50,15.7,0,1
47.8,6.89,1,0,1,14.41,0,0,50,14.41,0,1
48.1,6.74,1,0,1,14.01,0,0,50,14.01,0,1
47.0,6.93,1,0,1,14.74,0,0,50,14.74,0,1
47.8,6.69,1,0,1,14.0,0,0,50,14.0,0,1
48.5,6.61,1,0,1,13.63,0,0,50,13.63,0,1
64.5,9.02,1,1,1,13.98,0,0,50,13.98,0,1
48.7,6.47,1,0,1,13.29,0,0,50,13.29,0,1
57.1,7.92,1,0,1,13.87,0,0,50,13.87,0,1
50.8,7.25,1,0,1,14.27,0,0,50,14.27,0,1
54.1,7.59,1,0,1,14.03,0,0,50,14.03,0,1
49.7,6.82,1,0,1,13.72,0,0,50,13.72,0,1
92.9,13.93,0,1,1,13.64,0,0,50,13.64,0,1
88.4,11.2,0,1,1,13.64,0,0,50,13.64,0,1
61.6,8.01,1,1,1,13.64,0,0,50,13.64,0,1
48.2,6.68,1,1,1,13.86,0,0,50,13.86,0,1
77.5,14.25,0,1,1,14.4,0,0,50,14.4,0,1
100.2,9.71,1,0,1,14.4,0,0,50,14.4,1,1
67.1,13.55,0,1,1,14.4,0,0,50,14.4,0,1
65.0,7.1,0,1,1,14.4,0,0,50,14.4,2,1
65.4,13.0,0,1,1,15.54,0,0,50,15.54,0,1
64.6,7.2,0,1,1,15.54,0,0,50,15.54,2,1
47.5,6.57,1,0,1,13.83,0,0,50,13.83,0,1
50.5,6.91,1,0,1,13.68,0,0,50,13.68,0,1
51.1,7.1,1,0,1,13.89,0,0,50,13.89,0,1
46.0,6.68,1,0,1,14.52,0,0,50,14.52,0,1
64.4,8.38,1,0,1,13.01,0,0,50,13.01,0,1
32.5,4.86,1,0,1,14.95,0,0,50,14.95,0,1
62.8,11.14,1,1,1,17.74,0,1,50,17.74,0,1
64.0,12.12,1,0,1,18.94,0,1,50,18.94,0,1
47.2,6.96,1,0,1,14.75,0,0,50,14.75,0,1
46.8,7.06,1,0,1,15.09,0,1,50,15.09,0,1
46.8,6.95,1,0,1,14.85,0,0,50,14.85,0,1
46.7,6.85,1,0,1,14.67,0,0,50,14.67,0,1
62.5,9.43,1,1,1,15.09,0,0,50,15.09,0,1
48.0,6.92,1,0,1,14.42,0,0,50,14.42,0,1
47.2,6.91,1,0,1,14.64,0,0,50,14.64,0,1
47.4,6.46,1,0,1,13.63,0,0,50,13.63,0,1
48.2,6.78,1,0,1,14.07,0,0,50,14.07,0,1
47.9,6.99,1,0,1,14.59,0,0,50,14.59,0,1
68.6,9.96,1,1,1,14.52,0,0,50,14.52,0,1
48.2,7.04,1,0,1,14.61,0,0,50,14.61,0,0
95.3,11.85,1,0,1,12.43,0,0,50,12.43,0,0
47.5,6.33,1,0,1,13.33,0,0,50,13.33,0,0
46.7,6.13,1,0,1,13.13,0,0,50,13.13,0,0
76.9,11.23,1,1,1,14.6,0,0,50,14.6,0,0
49.0,6.36,1,0,1,12.98,0,0,50,12.98,0,0
46.8,6.75,1,0,1,14.42,0,1,50,14.42,0,0
94.5,12.16,1,0,1,12.87,0,0,50,12.87,0,0
63.4,9.14,0,1,1,14.42,0,0,50,14.42,0,0
76.9,11.23,1,1,1,14.6,0,0,50,14.6,2,0
65.7,9.13,1,0,1,13.9,0,0,50,13.9,0,0
52.8,6.83,1,0,1,12.94,0,0,50,12.94,0,0
55.1,7.36,1,0,1,13.36,0,0,50,13.36,0,0
101.5,12.66,1,0,1,12.47,0,0,50,12.47,0,0
62.5,7.64,1,1,1,12.22,0,0,50,12.22,0,0
65.7,14.58,0,1,1,13.58,0,0,50,13.58,0,0
54.1,5.98,0,0,1,13.58,0,0,50,13.58,0,0
76.9,6.15,0,1,1,13.58,0,0,50,13.58,0,0
122.0,14.3,0,0,1,11.72,0,0,50,11.72,0,0
1.6,3.06,0,0,1,18.5,0,1,50,18.5,0,0
35.6,9.1,0,1,0,18.5,0,1,50,18.5,0,0
41.2,6.36,0,1,1,18.5,0,1,50,18.5,0,0
54.1,8.42,1,0,1,18.5,0,1,50,18.5,0,0
63.8,9.37,0,1,1,18.5,0,1,50,18.5,2,0
96.8,12.15,1,0,1,12.55,0,0,50,12.55,0,0
95.1,11.79,1,0,1,12.4,0,0,50,12.4,0,0
62.6,7.86,0,1,1,12.56,0,0,50,12.56,0,0
39.2,8.48,0,1,0,13.85,0,0,50,13.85,0,0
80.1,9.27,0,0,1,13.85,0,0,50,13.85,0,0
63.7,7.6,0,1,1,13.85,0,0,50,13.85,2,0
49.9,6.4,1,0,1,12.83,0,0,50,12.83,0,0
94.4,11.92,1,0,1,12.63,0,0,50,12.63,0,0
95.1,11.38,1,0,1,11.97,0,0,50,11.97,0,0
62.5,7.48,0,1,1,11.97,0,0,50,11.97,0,0
83.6,11.47,1,1,0,13.72,0,0,50,13.72,2,0
3.7,7.48,1,0,0,14.42,0,0,50,14.42,0,0
82.7,4.98,1,1,0,14.42,0,0,50,14.42,2,0
48.2,5.76,1,0,1,11.95,0,0,50,11.95,0,0
96.6,11.26,1,0,1,11.66,0,0,50,11.66,0,0
95.2,11.34,1,0,1,11.91,0,0,50,11.91,0,0
100.8,12.3,1,1,1,12.2,0,0,50,12.2,0,0
49.0,6.03,1,0,1,12.31,0,0,50,12.31,0,0
96.3,12.08,1,0,1,12.54,0,0,50,12.54,0,0
99.8,11.65,1,0,1,11.67,0,0,50,11.67,0,0
65.2,13.57,0,1,1,15.94,1,0,50,15.94,0,0
65.1,7.2,0,1,1,15.94,1,0,50,15.94,2,0
65.7,13.09,0,1,1,15.65,0,0,50,15.65,2,0
74.7,8.88,1,1,1,15.65,0,0,50,15.65,2,0
69.3,8.93,1,1,1,12.89,0,0,50,12.89,0,0
64.2,8.32,1,0,1,12.96,0,0,50,12.96,0,0
65.2,8.62,1,0,1,13.22,0,0,50,13.22,0,0
95.4,11.98,1,0,1,12.56,0,0,50,12.56,0,0
91.0,11.61,0,1,1,12.76,0,0,50,12.76,0,0
41.0,12.77,1,0,1,12.41,0,0,50,12.41,2,0
58.0,5.01,1,0,1,12.41,0,0,50,12.41,2,0
58.0,7.02,1,0,1,12.41,0,0,50,12.41,2,0
59.0,6.72,1,0,1,12.41,0,0,50,12.41,2,0
58.0,6.94,1,0,1,12.41,1,0,50,12.41,2,0
58.0,7.33,1,0,1,12.41,1,0,50,12.41,2,0
73.0,8.7,1,0,1,12.41,1,0,50,12.41,2,0
97.0,8.58,1,0,1,12.41,1,0,50,12.41,2,0
78.0,11.19,1,0,1,12.41,1,1,50,12.41,2,0
58.0,9.12,1,0,1,12.41,1,0,50,12.41,2,0
77.0,8.48,1,0,1,12.41,1,0,50,12.41,2,0
78.0,9.74,1,0,1,12.41,1,0,50,12.41,2,0
78.0,9.17,1,0,1,12.41,0,1,50,12.41,2,0
97.0,9.34,1,0,1,12.41,0,0,50,12.41,2,0
42.3,5.81,1,0,1,13.74,0,0,50,13.74,2,0
77.6,10.81,1,0,1,13.93,0,0,50,13.93,2,0
25.4,5.56,1,0,1,10.46,0,0,50,10.46,0,0
67.3,4.14,0,1,1,10.46,0,0,50,10.46,0,0
64.8,13.9,0,1,0,14.05,0,0,50,14.05,0,0
56.9,7.75,1,0,1,14.05,0,0,50,14.05,0,0
48.0,7.15,1,0,1,14.05,0,0,50,14.05,0,0
42.3,6.68,0,1,0,14.05,0,0,50,14.05,0,0
47.7,5.69,0,1,0,14.05,0,0,50,14.05,0,0
51.6,7.71,0,1,0,14.05,0,0,50,14.05,0,0
39.8,5.35,0,1,0,14.05,0,0,50,14.05,0,0
51.4,7.74,0,1,0,14.05,0,0,50,14.05,0,0
49.5,6.19,0,1,0,14.05,0,0,50,14.05,0,0
90.7,8.1,1,1,1,14.05,1,1,50,14.05,0,0
55.9,11.84,1,1,1,13.21,0,0,50,13.21,0,0
65.5,7.58,1,1,1,13.21,0,0,50,13.21,0,0
60.0,7.9,0,1,0,13.21,0,0,50,13.21,0,0
59.4,6.21,0,1,0,13.21,0,0,50,13.21,0,0
36.6,5.9,0,1,0,13.21,0,0,50,13.21,0,0
46.7,7.05,0,1,0,13.21,0,0,50,13.21,0,0
41.8,5.35,0,1,0,13.21,0,0,50,13.21,0,0
43.7,5.21,0,0,1,13.21,0,0,50,13.21,0,0
54.1,6.72,1,0,1,13.21,0,0,50,13.21,0,0
63.7,5.91,0,1,1,13.21,1,1,50,13.21,0,0
66.3,8.49,1,1,1,12.81,0,0,50,12.81,0,0
57.6,7.33,1,0,1,12.73,0,0,50,12.73,0,0
106.7,13.44,1,0,1,12.6,1,0,50,12.6,0,0
62.8,7.86,1,1,1,12.52,0,0,50,12.52,0,0
64.9,13.06,0,1,1,12.82,0,0,50,12.82,0,0
93.4,9.61,1,1,1,12.82,0,0,50,12.82,0,0
11.2,2.5,0,1,0,12.82,0,0,50,12.82,2,0
75.2,6.21,0,1,1,12.82,0,0,50,12.82,2,0
50.0,6.19,1,0,1,12.38,0,0,50,12.38,0,0
96.2,11.64,1,0,1,12.1,0,0,50,12.1,0,0
97.9,11.92,1,0,1,12.18,0,0,50,12.18,0,0
55.0,11.61,0,1,1,14.33,1,0,50,14.33,0,0
41.9,6.06,0,1,0,14.33,1,0,50,14.33,0,0
72.7,9.0,0,1,0,14.33,1,0,50,14.33,0,0
27.1,4.26,0,1,0,14.33,1,0,50,14.33,2,0
76.9,9.98,0,1,0,14.33,1,0,50,14.33,0,0
35.6,6.77,0,1,0,14.33,1,0,50,14.33,2,0
90.6,9.63,1,1,1,14.33,0,0,50,14.33,0,0
50.0,7.82,1,1,1,14.53,0,0,50,14.53,0,0
43.0,5.69,1,1,1,14.53,0,0,50,14.53,0,0
