trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
89.0,47.6,0,1,0,16.0,0,0,63.3,4.9,1,0
271.0,38.6,1,1,1,16.1,0,0,65.5,5.000000000000002,1,0
273.0,35.0,0,1,0,14.9,0,0,57.1,3.8000000000000007,1,0
336.0,40.9,1,1,1,13.2,0,0,51.8,2.1,1,0
325.0,38.6,1,0,1,12.9,0,0,37.5,1.8000000000000007,1,0
120.0,48.4,1,0,1,12.9,0,0,38.6,1.8000000000000007,1,0
21.0,37.8,0,1,0,15.6,0,0,65.6,4.5,1,0
97.0,4.6,1,1,1,12.9,0,0,34.1,1.8000000000000007,1,0
170.0,41.6,0,1,0,13.5,0,0,70.4,2.4000000000000004,1,0
331.0,40.9,1,1,1,13.3,0,0,49.1,2.200000000000001,1,0
167.0,18.7,0,1,0,12.9,0,0,62.6,1.8000000000000007,1,0
153.0,17.3,1,1,1,12.9,0,0,27.1,1.8000000000000007,1,0
7.0,41.1,1,0,1,14.8,0,0,55.3,3.700000000000001,1,0
151.0,44.2,1,0,1,13.2,0,0,40.4,2.1,1,0
130.0,16.9,1,0,1,13.6,0,0,48.5,2.5,1,0
151.0,23.2,1,0,1,17.0,0,0,72.0,5.9,1,0
227.0,29.7,0,1,0,14.9,0,0,65.9,3.8000000000000007,1,0
129.0,16.5,1,0,1,13.2,0,0,35.8,2.1,1,0
14.0,1.9,1,0,1,12.9,0,0,19.1,1.8000000000000007,1,0
56.0,6.4,1,0,1,12.9,0,0,32.0,1.8000000000000007,1,0
292.0,34.2,0,1,0,13.2,0,0,67.8,2.1,1,0
51.0,41.7,0,1,0,15.2,0,0,67.8,4.1,1,0
34.0,5.0,1,0,1,14.1,0,0,22.0,3.0,1,0
212.0,29.2,1,0,1,15.7,0,0,35.0,4.6,1,0
48.0,34.6,1,0,1,14.8,0,0,35.6,3.700000000000001,1,0
225.0,32.2,1,0,1,15.8,0,0,32.1,4.700000000000001,1,0
180.0,55.0,1,0,1,18.6,0,0,33.8,7.500000000000002,1,0
170.0,31.7,1,0,1,20.7,0,0,28.0,9.6,1,0
86.0,54.7,1,0,1,19.2,0,0,28.3,8.1,1,0
155.0,25.5,1,0,1,17.9,0,0,35.6,6.799999999999999,1,0
263.0,46.8,1,0,1,14.0,0,0,36.0,2.9000000000000004,1,0
215.0,35.5,0,1,0,14.9,0,0,57.4,3.8000000000000007,1,0
19.0,70.5,1,0,1,15.1,0,0,39.0,4.0,1,0
23.0,46.5,1,0,1,17.5,0,0,60.0,6.4,1,0
46.0,47.1,1,0,1,14.2,0,0,71.1,3.1,1,0
177.0,24.8,0,1,1,15.7,0,0,45.4,4.6,1,0
270.0,35.9,0,1,0,15.4,0,0,70.0,4.300000000000001,1,0
40.0,70.2,1,0,1,14.7,0,0,64.0,3.6,1,0
102.0,54.6,1,0,1,15.1,0,0,63.0,4.0,1,0
122.0,16.4,1,1,1,13.8,0,0,37.6,2.700000000000001,1,0
192.0,25.2,1,1,1,14.3,0,0,44.8,3.200000000000001,1,0
124.0,45.2,1,0,1,14.1,0,0,50.5,3.0,1,0
99.0,40.0,1,0,1,13.9,0,0,48.5,2.8000000000000007,1,0
154.0,21.1,0,1,0,15.5,0,0,48.8,4.4,1,0
264.0,41.2,0,1,0,17.5,0,0,74.0,6.4,1,0
206.0,50.5,0,1,0,15.3,0,0,56.4,4.200000000000001,1,0
245.0,32.0,0,1,0,15.2,0,0,75.3,4.1,1,0
48.0,23.2,1,1,1,14.3,0,0,28.8,3.200000000000001,1,0
228.0,32.7,0,1,0,16.4,0,0,70.5,5.299999999999999,1,0
44.0,58.7,1,0,1,13.9,0,0,38.4,2.8000000000000007,1,0
1.0,38.2,1,0,1,15.4,0,0,54.3,4.300000000000001,1,0
1.0,33.3,1,0,1,15.4,0,0,64.3,4.300000000000001,1,0
146.0,18.6,1,0,1,12.9,0,0,33.6,1.8000000000000007,1,0
266.0,40.3,1,1,1,16.5,0,0,49.5,5.4,1,0
18.0,36.3,1,0,1,16.0,0,0,56.9,4.9,1,0
18.0,44.5,1,0,1,16.5,0,0,48.5,5.4,0,0
91.0,40.8,1,0,1,14.1,0,0,50.1,3.0,0,0
104.0,30.9,1,0,1,16.7,0,0,38.0,5.6,0,0
264.0,29.4,1,0,1,15.3,0,0,37.1,4.200000000000001,0,0
1.0,18.1,1,0,1,13.8,0,0,29.6,2.700000000000001,0,0
17.0,52.3,1,0,1,17.5,0,0,41.5,6.4,0,0
84.0,75.4,1,0,1,16.1,0,0,16.1,5.000000000000002,0,0
0.1,61.1,1,0,1,21.2,0,0,49.8,10.1,0,0
138.0,37.9,1,0,1,17.2,0,0,30.8,6.1,0,0
139.0,23.8,1,0,1,17.9,0,0,28.8,6.799999999999999,0,0
39.0,6.2,1,0,1,16.5,0,0,34.5,5.4,0,0
1.0,56.7,1,0,1,21.7,0,0,50.9,10.6,0,0
93.0,32.2,0,1,1,21.1,0,0,74.8,10.000000000000002,0,0
94.0,42.0,0,1,0,21.2,0,0,75.3,10.1,0,0
1.0,48.4,0,1,0,19.9,0,0,52.3,8.799999999999999,0,0
242.0,48.4,0,1,0,15.8,1,0,59.6,4.700000000000001,0,0
157.0,30.1,0,1,0,16.3,1,0,79.1,5.200000000000001,0,0
149.0,23.99,1,0,0,13.3,1,0,34.3,2.200000000000001,0,0
123.0,20.47,1,0,0,14.2,1,0,35.8,3.1,0,0
248.0,48.7,1,0,0,15.7,1,0,49.0,4.6,0,0
156.0,29.82,1,0,0,15.9,1,0,64.1,4.800000000000001,0,0
105.0,41.0,1,0,0,14.0,1,0,32.8,2.9000000000000004,0,0
22.0,22.5,1,0,0,15.1,1,0,20.0,4.0,0,0
107.0,35.41,1,0,0,13.9,1,0,29.1,2.8000000000000007,1,0
353.0,52.95,1,1,1,15.0,0,0,34.4,3.9,0,0
226.0,44.25,0,1,1,15.7,1,0,53.0,4.6,0,0
100.0,32.0,0,1,1,17.2,1,0,52.6,6.1,0,0
140.0,19.0,0,1,1,17.2,1,0,48.6,6.1,0,0
168.0,35.07,0,1,1,16.9,1,0,55.3,5.799999999999999,0,0
144.0,34.19,0,1,1,19.1,1,0,64.3,8.000000000000002,0,0
167.0,32.71,0,1,1,16.0,1,0,54.8,4.9,0,0
179.0,36.07,0,1,1,16.7,1,0,51.1,5.6,0,0
165.0,34.49,0,1,1,17.0,1,0,55.5,5.9,0,0
165.0,33.95,0,1,1,16.8,1,0,59.4,5.700000000000001,0,0
197.0,37.7,0,1,1,15.7,1,0,49.5,4.6,0,0
168.0,34.09,0,1,1,16.5,1,0,53.3,5.4,0,0
164.0,34.58,0,1,1,17.3,1,0,56.1,6.200000000000001,0,0
110.0,28.78,0,1,1,20.6,1,0,60.8,9.500000000000002,0,0
109.0,28.3,0,1,1,20.2,1,0,56.4,9.1,0,0
