trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
2.0,8.68,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
151.0,32.37,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
66.0,13.33,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
88.0,25.29,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
227.0,22.33,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
230.0,61.64,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
101.0,27.29,1,1,1,27.49,0,1,50,2.8900000000000006,1,2
117.0,40.72,1,1,1,26.35,0,1,50,1.75,1,2
159.0,42.11,1,1,1,26.35,0,1,50,1.75,1,2
71.0,26.88,1,1,1,26.35,0,1,50,1.75,1,2
78.0,20.22,1,1,1,26.35,0,1,50,1.75,1,2
47.0,10.47,1,1,1,26.35,0,1,50,1.75,1,2
86.0,24.12,1,1,1,26.35,0,1,50,1.75,1,2
184.0,46.34,1,1,1,26.35,0,1,50,1.75,1,2
58.0,19.67,1,1,1,26.35,0,1,50,1.75,1,2
223.0,39.03,1,1,1,26.35,0,1,50,1.75,1,2
207.0,44.74,1,1,1,21.61,0,1,50,-2.99,1,2
71.0,26.23,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
84.0,20.42,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
152.0,53.63,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
169.0,45.58,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
203.0,38.18,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
22.0,14.18,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
8.0,17.35,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
82.0,13.01,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
115.0,29.3,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
38.0,52.57,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
99.0,5.08,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
96.0,6.56,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
50.0,30.36,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
230.0,32.26,1,1,1,27.11,0,1,50,2.5100000000000016,1,2
108.0,34.69,1,1,1,21.35,0,1,50,-3.25,1,2
116.0,38.29,1,1,1,21.35,0,1,50,-3.25,1,2
62.0,32.16,1,1,1,21.35,0,1,50,-3.25,1,2
7.0,4.34,1,1,1,21.35,0,1,50,-3.25,1,2
226.0,23.27,1,1,1,21.35,0,1,50,-3.25,1,2
8.0,51.83,1,1,1,27.64,0,1,50,3.039999999999999,1,2
149.0,5.18,1,1,1,27.64,0,1,50,3.039999999999999,1,2
108.0,46.12,1,1,1,27.64,0,1,50,3.039999999999999,1,2
13.0,5.82,1,1,1,27.64,0,1,50,3.039999999999999,1,2
69.0,18.72,1,1,1,27.64,0,1,50,3.039999999999999,1,2
242.0,46.34,1,1,1,27.64,0,1,50,3.039999999999999,1,2
51.0,4.46,1,1,1,27.64,0,1,50,3.039999999999999,1,2
58.0,19.67,1,1,1,27.64,0,1,50,3.039999999999999,1,2
67.0,18.62,1,1,1,27.64,0,1,50,3.039999999999999,1,2
215.0,54.16,1,1,1,27.64,0,1,50,3.039999999999999,1,2
130.0,41.36,1,1,1,27.55,0,1,50,2.9499999999999993,1,2
85.0,43.9,1,1,1,27.55,0,1,50,2.9499999999999993,1,2
12.0,14.6,1,1,1,27.55,0,1,50,2.9499999999999993,1,2
205.0,2.44,1,1,1,27.55,0,1,50,2.9499999999999993,1,2
49.0,16.92,1,1,1,27.55,0,1,50,2.9499999999999993,1,2
90.0,23.27,1,1,1,27.55,0,1,50,2.9499999999999993,1,2
37.0,40.31,1,1,1,27.55,0,1,50,2.9499999999999993,1,2
12.68,2.252,1,1,1,17.76,1,1,50,-6.84,1,1
20.0,3.0,1,1,1,21.75459987,1,1,50,-2.84540013,1,1
4.81,1.107,1,1,1,23.01,1,1,50,-1.5899999999999999,1,2
6.966,1.351,1,1,1,19.39,1,1,50,-5.210000000000001,1,1
88.0,21.0,1,0,1,23.86,1,1,50,-0.7400000000000002,1,1
121.6,24.7,1,0,1,21.75459987,1,1,50,-2.84540013,1,1
166.0,50.0,1,1,1,23.7,1,1,50,-0.9000000000000004,1,1
156.0,43.0,1,1,1,21.3,1,1,50,-3.3000000000000007,1,1
128.0,42.0,1,1,1,24.5,1,1,50,-0.09999999999999964,1,1
84.0,55.0,1,1,1,28.4,1,1,50,3.8000000000000007,1,1
106.0,33.0,1,1,1,26.7,1,1,50,2.0999999999999996,1,1
138.0,22.0,1,1,1,25.9,1,1,50,1.3000000000000007,1,1
150.0,40.0,1,1,1,25.2,1,1,50,0.5999999999999996,1,1
87.0,34.0,1,1,1,23.0,1,1,50,-1.5999999999999996,1,1
178.0,49.0,1,1,1,24.6,1,1,50,0.0,1,1
108.0,59.0,1,1,1,25.0,1,1,50,0.40000000000000036,1,1
161.0,16.0,1,1,1,22.0,1,1,50,-2.5999999999999996,1,1
163.0,55.0,1,1,1,22.9,1,1,50,-1.6999999999999993,1,1
215.0,43.0,1,1,1,20.4,1,1,50,-4.199999999999999,1,1
134.0,53.0,1,1,1,23.0,1,1,50,-1.5999999999999996,1,1
161.0,34.0,1,1,1,25.5,1,1,50,0.9000000000000004,1,1
72.0,51.0,1,1,1,26.3,1,1,50,1.6999999999999993,1,1
110.0,28.0,1,1,1,26.0,1,1,50,1.4000000000000004,1,1
46.0,7.0,1,1,1,24.8,1,1,50,0.1999999999999993,1,2
174.0,48.0,1,1,1,22.1,1,1,50,-2.5,1,2
216.0,63.0,1,1,1,21.1,1,1,50,-3.5,1,2
26.0,30.0,1,1,1,25.2,1,1,50,0.5999999999999996,1,2
224.0,28.0,1,1,1,21.2,1,1,50,-3.4000000000000004,1,2
39.0,48.0,1,1,1,23.8,1,1,50,-0.8000000000000007,1,2
51.0,7.0,1,1,1,24.1,1,1,50,-0.5,1,2
171.0,21.4,1,1,1,22.0,1,1,50,-2.5999999999999996,1,2
227.0,52.0,1,1,1,20.5,1,1,50,-4.1,1,2
154.0,45.0,1,1,1,19.7,1,1,50,-4.9,1,2
136.0,41.0,1,1,1,21.1,1,1,50,-3.5,1,2
72.0,3.5,1,1,1,21.6,1,1,50,-3.0,1,2
161.0,43.0,1,1,1,21.2,1,1,50,-3.4000000000000004,1,2
206.0,50.0,1,1,1,20.3,1,1,50,-4.300000000000001,1,2
